sr_no,district,division,code_no,factory_name,type,tcd,crushing_mt,recovery_pct_2425,frp_rate_pmt,actual_price_payable_lakh,avg_ht_pmt_2425,net_frp_pmt,total_net_frp_payable_lakh,total_ht_paid_lakh,total_frp_paid_incl_ht_lakh,total_frp_paid_excl_ht_lakh,arrears_lakh,pct_frp_paid
135,Ahilyanagar,Ahilyanagar,65401.0,"Gauri Sugar & Distilleries Pvt.Ltd (OLD Shri Saikrupr Sugar & Allied Industries Ltd. Hirdgaon, Dist. Ahilyanagar",Pvt.,7500.0,737979.02,10.761,3726.81,27503.05,1048.23,2678.58,19767.33,7735.72,28115.23,20379.51,-612.18,100.0
136,Ahilyanagar,Ahilyanagar,69065.0,Sopanrao Balkrushna Dhasal Agro products Ltd.Malkup Tal.parncr Dist. Ahilyanagar,Pvt.,1250.0,149449.585,11.524,3990.8,5964.24,1183.4,2807.4,4195.65,1768.59,4492.16,2723.57,1472.08,64.91
137,Ahilyanagar,Ahilyanagar,51501.0,"Omkar Sugar (Sajan Sugar) Pvt. Ltd. Devdaithan, Tal.Srigonda, Dist. Ahilyanagar!Saikripa Sugar Factory' Ltd. has been leased out.) (Omkar Sugar)",Pvt.,1250.0,113082.269,11.566,4005.34,4529.32,982.71,3022.63,3418.05,1111.27,4247.05,3135.78,282.27,91.74
138,Ahilyanagar,Ahilyanagar,69075.0,"Swami Samarth Sugar & Agro Industries Ltd.,A/P-Warkheda, Tal- Newasa, Dist-Ahilyanagar",Pvt.,1252.0,264614.528,8.411,3290.5,8707.14,917.84,2372.66,6278.4,2428.74,9817.91,7389.17,-1110.77,100.0
139,Nashik,Ahilyanagar,12001.0,"Kadwa SSK Ltd. Materewadi.Tal. Dindori, Dist. Nashik-422 209",Coop,2500.0,283785.954,12.141,4204.29,11931.17,1027.96,3176.33,9013.97,2917.21,9615.87,6698.66,2315.31,74.311
140,Nashik,Ahilyanagar,51401.0,"Dwarkadhish Sakhar karkhana Ltd., Sheware, Tal.Satana, Dist.Nashik",Pvt.,4000.0,440215.479,11.389,3944.09,17362.51,1084.13,2859.96,12590.0,4772.51,17538.76,12766.25,-176.25,100.0
141,Nashik,Ahilyanagar,12101.0,"Astalaxmi Sugar Ethenol & Energy Ltd. ( Lease of Nashik SSK Ltd.) A/P- Palse, Tai- Nashik, Dist-Nashik",Coop,1250.0,60304.79,9.407,3290.5,1984.33,1101.0,2189.5,1320.37,663.96,1691.91,1027.95,292.42,77.85
142,Nashik,Ahilyanagar,17101.0,S J Sugar Distillery and Power Pvt. Ltd.,Pvt.,2000.0,16567.046,9.537,3303.3,547.26,1190.37,2112.93,350.05,197.21,317.75,120.54,229.51,34.44
143,Nashik,Ahilyanagar,69007.0,KGS Sugar And Infra Corporation Ltd.,Pvt.,4500.0,13954.683,9.5,3290.5,459.18,975.0,2315.5,323.12,136.06,459.18,323.12,0.0,100.001
144,Nashik,Ahilyanagar,11901.0,Sahkar Maharshi Shankarrao Kolhe SSL Ltd.fLessee of karmveer Kakasahcb Wagh ssk ltd.Ranwad Tal.Niphad),Coop,1250.0,85256.323,10.527,3645.84,3108.31,952.63,2693.21,2296.13,812.18,3108.32,2296.14,-0.01,100.0
145,Nandurbar,Chh. Sambhajinagar,37501.0,"Ayan Multitradc LLP. Sanishcrpur, Dist. Nandurbar",Pvt.,10000.0,729104.0,10.223,3540.66,25815.08,987.15,2553.51,18617.73,7197.35,25504.35,18307.0,310.73,98.33
146,Chh. Sambhajinagar,5 •o,19101.0,Onkar sakhar karkhana unit no.9 (Satpuda-Tapi. Sahakan sakhar karkhana ) ltd.purushottam nagar. ta. shahada,Coop,4000.0,164710.0,9.541,3304.69,5443.15,985.14,2319.55,3820.52,1622.62,4783.47,3160.85,659.67,82.73
147,Chh. Sambhajinagar,O,36501.0,Baramati Agro Ltd. Pune ( Lease unit of Chopda SSKLtd.)Tal. Chopda. Dist. Jalgaon,Coop,2500.0,164154.0,10.022,3471.11,5697.97,1072.06,2399.05,3938.14,1759.83,5361.75,3601.92,336.22,91.46
148,Chh. Sambhajinagar,Chh. Sambhajinagar,18501.0,"Sachin Ghayal Sugars Pvt. Ltd. Pune ( On colaboration basis with Shri.Sant Eknath SSK Ltd.)Eknathnagar. Tal. Paithan,",Coop,1250.0,150285.0,10.645,3686.67,5540.51,1092.22,2594.45,3899.07,1641.44,3783.67,2142.23,1756.84,54.94
149,Chh. Sambhajinagar,Chh. Sambhajinagar,66101.0,"Shri.Rcnukadevi Shared SSK Ltd. Pratibha Nagar, Vihamandwa, Tal. Paithan,",Coop,1250.0,167614.0,8.862,3290.5,5515.34,885.78,2404.72,4030.65,1484.69,4592.1,3107.41,923.24,77.09
150,Chh. Sambhajinagar,Chh. Sanibhaj inagar,18301.0,"Baramati Agro Ltd. Mahatma Phule Nagar, Kannada Tal. Kannada, Dist. Chh. Sambhajinagar",Pvt.,7000.0,661729.0,12.0,4155.5,27498.15,1028.74,3126.76,20690.68,6807.47,21573.59,14766.12,5924.56,71.37
151,Chh. Sambhajinagar,Chh. Sambhaj inagar,52007.0,"Chhatrapati Sambhaji Rajc Sakhar Udyog Ltd.,Husanpur, Tai &Dist-Chh. Sambhajinagar",Pvt.,3000.0,304021.0,10.512,3640.65,11068.35,1020.0,2620.65,7967.33,3101.01,8001.11,4900.1,3067.23,61.5
152,Chh. Sambhajinagar,Chh. Sambhajinagar,63901.0,"Mukteshwar Sugar Mills Ltd. Shendurwada-Dhamori, Tal.Gangapur, Dist. Chh. Sambhajinagar",Pvt.,2500.0,257011.0,10.411,3605.71,9267.06,835.16,2770.55,7120.61,2146.45,7629.27,5482.82,1637.79,77.0
153,Chh. Sambhajinagar,Chh. Sambhajinagar,18101.0,"Jaihind Sugar pvt. Ltd gangapur u-2, (gangapur sahakari sakhar karkhan ltd.ragunath nagar. ta. gangapur)",Coop,2000.0,155441.75,9.796,3392.92,5274.01,795.68,2597.24,4037.19,1236.82,4494.51,3257.69,779.5,80.69
154,Chh. Sambhajinagar,Chh. Sambhajinagar,69071.0,Panchaganga Sugar & Powar PVT. Mahalgaon. Ta.Vaijapuar.,Pvt.,6500.0,774556.0,10.152,3516.09,27234.1,978.69,2537.4,19653.6,7580.5,21464.15,13883.65,5769.95,70.64
